id,question_id,choice_text,iscorrect
1,1,Yield Sign,f
2,1,Stop Sign,t
3,1,School Zone,f
4,1,Railroad Crossing,f
5,2,10 feet,f
6,2,15 feet,f
7,2,20 feet,f
8,2,25 feet,t
9,3,Judgement,t
10,3,Vision,f
11,3,Speech,f
12,3,Reaction Time,f
13,4,.08,f
14,4,.02,t
15,4,.05,f
16,4,.00,f
17,5,Proceed through the light with caution and maintain your speed,f
18,5,Proceed through the light with caution regardless of oncoming or turning traffic,f
19,5,Proceed through the light with caution and reduce your speed,t
20,5,Proceed through the light after coming to full stop first,f
21,6,5 seconds,f
22,6,4 seconds,f
23,6,3 seconds,t
24,6,2 seconds,f
25,7,Towards the curb,f
26,7,Away from the curb,t
27,7,Straight,f
28,7,It Does Not Matter as long as the brake is engaged.,f
29,8,Downshift to Neutral,t
30,8,Pump the Brakes,f
31,8,Pull the Brake with your hand,f
32,8,Engage the Emergency Brake,f
33,9,6 inches,f
34,9,12 inches,t
35,9,18 inches,f
36,9,24 inches,f
37,10,.08,t
38,10,.02,f
39,10,.05,f
40,10,.06,f
41,11,The Brakes,t
42,11,The Tires,f
43,11,The Accelerator,f
44,11,The Engine,f
45,12,12 seconds,t
46,12,6 seconds,f
47,12,10 seconds,f
48,12,8 seconds,f
49,13,35 MPH,t
50,13,25 MPH,f
51,13,15 MPH,f
52,13,40 MPH,f
53,14,Pump the Brakes,f
54,14,Ease off the Gas Pedal,t
55,14,Give it more gas,f
56,14,Shift to neutral,f
57,15,Increase your following distance,t
58,15,Decrease your following distance,f
59,15,Maintain your following distance,f
60,15,"Maintain your speed, no matter what the car ahead of you does. ",f
61,16,3 seconds,t
62,16,4 seconds,f
63,16,5 seconds,f
64,16,6 seconds,f
65,17,A Regulatory Sign,t
66,17,A Warning Sign,f
67,17,A Guide Sign,f
68,17,A Construction Sign,f
69,18,Put your high beams on and leave them on,f
70,18,Don't do anything,f
71,18,Turn your lights off and on,f
72,18,Flash your high beams on and off quickly,t
73,19,Look to the right side of the road,t
74,19,Look to the left side of the road,f
75,19,Look straight ahead,f
76,19,Stare into the headlights until your eyes adjust,f
77,20,Yield the Right of Way,t
78,20,Railroad Crossing,f
79,20,No Passing,f
80,20,Pedestrian Crossing,f
81,21,You may pass if it is safe to do so,t
82,21,You may not pass,f
83,21,You may pass and oncoming cars must yield the right of way,f
84,21,Both lanes of traffic are traveling in the same direction,f
85,22,On a one way street,f
86,22,When the children have all gotten on or off the bus,f
87,22,When the bus is on the opposite side of a divided highway.,t
88,22,When the lights are flashing and the stop sign is open from the side of the bus,f
89,23,"Regulatory, Construction, Warning, Information",f
90,23,"Regulatory, Construction, Warning, Guide",t
91,23,"Regulatory, Work Zone, Warning, Guide",f
92,23,"Regulatory, Construction, Yellow, Guide",f
93,24,The driver that reached the intersection first,t
94,24,The driver to the left of you,f
95,24,The driver in front of you,f
96,24,You because you know the rule,f
97,25,About 1 Mile,f
98,25,About 1/4 Mile,t
99,25,About 1/2 Mile,f
100,25,About 12 Seconds,f
101,26,The signal may have been left on from an earlier turn,t
102,26,The vehicle may be turning another way,f
103,26,The lights may not be working properly,f
104,26,The driver may be trying to trick you,f
105,27,Turn your lights on,f
106,27,Turn your vehicle's radio or stero off,f
107,27,Slow down,t
108,27,Use your Hazard Lights,f
